journal_title,issn,eissn,subject_area,subject_category,publisher,oa_type,sjr_quartile,sjr_score,impact_factor,h_index,scope
Epigenetics,1559-2294,1559-2308,Genetics,Genetics,Taylor & Francis,Hybrid,Q1,3.45,4.5,180,"Covers epigenetics including DNA methylation, histone modifications, chromatin remodeling, non-coding RNA, and epigenetic regulation in disease."
Autophagy Reports,2769-4127,2769-4127,Cell Biology,Cell Biology,Taylor & Francis,OA,Q1,2.34,5.8,40,"Covers all aspects of autophagy biology including selective autophagy, mitophagy, xenophagy, and autophagy in cancer and neurodegeneration."
Oncoimmunology,2162-402X,2162-402X,Oncology,Oncology,Taylor & Francis,OA,Q1,3.45,8.0,150,"Covers immune responses to cancer including tumor-infiltrating lymphocytes, cancer immunotherapy, immune evasion, and predictive biomarkers."
Cell Cycle,1538-4101,1551-4005,Cell Biology,Cell Biology,Taylor & Francis,Hybrid,Q1,2.87,3.5,210,"Covers cell cycle control, checkpoint signaling, DNA damage response, mitosis, centrosome biology, and cell division in cancer."
Journal of Molecular Endocrinology,0952-5041,1479-6813,Endocrinology,Endocrinology,Taylor & Francis,Hybrid,Q2,2.12,4.2,170,"Covers endocrinology at the molecular level including hormone receptors, signaling cascades, metabolic hormones, and endocrine tumors."
Gut Microbes,1949-0976,1949-0984,Microbiology,Microbiology,Taylor & Francis,Hybrid,Q1,5.67,12.2,120,"Covers gut microbiota and its interactions with the host including microbiome composition, host-microbe interactions, and the gut-brain axis."
Channels,1933-6950,1933-6969,Physiology,Physiology,Taylor & Francis,Hybrid,Q2,1.78,2.9,100,"Covers ion channels and transporters including channel structure-function, biophysics, pharmacology, and channelopathies."
Communicative and Integrative Biology,1942-0889,1942-0889,Biochemistry,Biochemistry,Taylor & Francis,OA,Q2,1.45,2.3,80,"Covers biological research with emphasis on communication between cells, organisms, and disciplines."
Journal of Receptors and Signal Transduction,1079-9893,1532-4281,Biochemistry,Biochemistry,Taylor & Francis,Hybrid,Q3,1.23,3.1,90,"Covers receptor pharmacology and signal transduction pathways including GPCR signaling, kinase cascades, and second messenger systems."
Human Vaccines and Immunotherapeutics,2164-5515,2164-554X,Immunology,Immunology,Taylor & Francis,Hybrid,Q2,2.45,4.5,100,"Covers vaccine science and immunotherapy including vaccine design, adjuvants, cancer vaccines, and immunization strategies."
Critical Reviews in Oncology/Hematology,1040-8428,1879-0461,Oncology,Oncology,Taylor & Francis,Hybrid,Q1,3.98,7.2,230,"Reviews in clinical oncology and hematology including cancer treatment, hematological malignancies, and supportive care."
Leukemia and Lymphoma,1042-8194,1029-2403,Hematology,Hematology,Taylor & Francis,Hybrid,Q2,2.34,3.8,200,"Covers clinical and experimental aspects of leukemia and lymphoma including pathogenesis, prognostic factors, and new therapeutic approaches."
